follow_up_id,opportunity_id,fan_id,account_id,game_id,assigned_team,assigned_owner,suggested_action,priority_score,priority_band,due_date,status,outcome,synthetic_data_flag
FUP_00000001,OPP_00020192,FAN_017301,,TP_2024_033,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-08-13,open,,True
FUP_00000002,OPP_00020193,FAN_017301,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-08-13,open,,True
FUP_00000003,OPP_00011627,FAN_009975,,TP_2025_001,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-04-14,open,,True
FUP_00000004,OPP_00011629,FAN_009975,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-04-14,open,,True
FUP_00000005,OPP_00045780,FAN_040032,,TP_2024_061,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-04-13,open,,True
FUP_00000006,OPP_00045781,FAN_040032,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-04-13,open,,True
FUP_00000007,OPP_00015664,FAN_013375,,TP_2024_043,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-07-16,open,,True
FUP_00000008,OPP_00015665,FAN_013375,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-07-16,open,,True
FUP_00000009,OPP_00004487,FAN_003833,,TP_2024_042,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-09-10,open,,True
FUP_00000010,OPP_00004488,FAN_003833,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-10,open,,True
FUP_00000011,OPP_00012453,FAN_010645,,TP_2024_056,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-07-06,open,,True
FUP_00000012,OPP_00012454,FAN_010645,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-06,open,,True
FUP_00000013,OPP_00035339,FAN_030789,,TP_2025_008,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-07-02,open,,True
